label	cell_type
SC_96359_30_30	cHF	SMC
SC_96359_29_54	cHF	SMC
SC_96359_32_11	cHF	SMC
SC_96359_18_3	cHF	CM
SC_96359_55_6	cHF	CM
SC_96359_61_39	cHF	CM
SC_96359_61_31	cHF	CM
SC_96359_24_71	cHF	CM
SC_96359_60_48	cHF	CM
SC_96359_30_67	cHF	EC
SC_96359_32_29	cHF	SMC
SC_96359_67_12	cHF	SMC
SC_96359_28_33	cHF	FB
SC_96359_65_32	cHF	EC
SC_96359_65_53	cHF	EC
SC_96359_69_61	cHF	SMC
SC_96359_64_50	cHF	FB
SC_96359_23_25	cHF	CM
SC_96359_66_25	cHF	SMC
SC_96359_35_63	cHF	EC
SC_96359_35_26	cHF	EC
SC_96359_34_2	cHF	EC
SC_96359_18_47	cHF	CM
SC_96359_30_10	cHF	EC
SC_96359_55_48	cHF	CM
SC_96359_28_15	cHF	EC
SC_96359_64_20	cHF	EC
SC_96359_67_20	cHF	SMC
SC_96359_32_40	cHF	SMC
SC_96359_61_42	cHF	CM
SC_96359_63_13	cHF	FB
SC_96359_68_60	cHF	EC
SC_96359_30_38	cHF	SMC
SC_96359_70_16	cHF	SMC
SC_96359_69_42	cHF	EC
SC_96359_68_33	cHF	EC
SC_96359_65_42	cHF	EC
SC_96359_63_9	cHF	EC
SC_96359_35_41	cHF	SMC
SC_96359_64_24	cHF	FB
SC_96359_67_49	cHF	MP
SC_96359_27_65	cHF	EC
SC_96359_32_20	cHF	SMC
SC_96359_34_18	cHF	EC
SC_96359_67_3	cHF	MP
SC_96359_60_6	cHF	CM
SC_96359_54_12	cHF	CM
SC_96359_34_47	cHF	EC
SC_96359_29_17	cHF	SMC
SC_96359_67_43	cHF	SMC
SC_96359_63_29	cHF	EC
SC_96359_58_29	cHF	CM
SC_96359_59_10	cHF	CM
SC_96359_20_58	cHF	CM
SC_96359_31_3	cHF	SMC
SC_96359_64_67	cHF	SMC
SC_96359_20_4	cHF	CM
SC_96359_33_39	cHF	EC
SC_96359_24_34	cHF	CM
SC_96359_20_47	cHF	CM
SC_96359_34_50	cHF	MP
SC_96359_24_43	cHF	CM
SC_96359_70_4	cHF	EC
SC_96359_31_52	cHF	EC
SC_96359_23_7	cHF	CM
SC_96359_71_63	cHF	EC
SC_96359_56_69	cHF	CM
SC_96359_27_42	cHF	FB
SC_96359_35_14	cHF	SMC
SC_96359_20_2	cHF	CM
SC_96359_24_33	cHF	CM
SC_96359_28_57	cHF	MP
SC_96359_35_27	cHF	EC
SC_96359_68_28	cHF	MP
SC_96359_56_4	cHF	CM
SC_96359_18_31	cHF	CM
SC_96359_31_17	cHF	EC
SC_96359_35_18	cHF	EC
SC_96359_62_2	cHF	CM
SC_96359_69_26	cHF	SMC
SC_96359_63_12	cHF	EC
SC_96359_64_47	cHF	EC
SC_96359_28_47	cHF	EC
SC_96359_56_0	cHF	CM
SC_96359_35_49	cHF	EC
SC_96359_27_27	cHF	FB
SC_96359_71_38	cHF	EC
SC_96359_32_64	cHF	MP
SC_96359_34_44	cHF	EC
SC_96359_21_31	cHF	CM
SC_96359_30_64	cHF	FB
SC_96359_69_4	cHF	SMC
SC_96359_64_54	cHF	EC
SC_96359_33_59	cHF	EC
SC_96359_69_54	cHF	FB
SC_96359_56_39	cHF	CM
SC_96359_68_36	cHF	EC
SC_96359_28_6	cHF	EC
SC_96359_63_68	cHF	SMC
SC_96359_62_71	cHF	CM
SC_96359_62_66	cHF	CM
SC_96359_61_61	cHF	CM
SC_96359_69_53	cHF	EC
SC_96359_28_30	cHF	SMC
SC_96359_19_46	cHF	CM
SC_96359_64_17	cHF	EC
SC_96359_34_63	cHF	EC
SC_96359_31_54	cHF	FB
SC_96359_20_35	cHF	CM
SC_96359_34_13	cHF	EC
SC_96359_70_13	cHF	EC
SC_96359_71_29	cHF	EC
SC_96359_66_12	cHF	EC
SC_96359_70_30	cHF	SMC
SC_96359_68_18	cHF	EC
SC_96359_29_63	cHF	EC
SC_96359_18_0	cHF	CM
SC_96359_24_9	cHF	CM
SC_96359_32_67	cHF	EC
SC_96359_56_27	cHF	CM
SC_96359_32_52	cHF	EC
SC_96359_32_53	cHF	FB
SC_96359_64_7	cHF	EC
SC_96359_63_42	cHF	EC
SC_96359_30_21	cHF	EC
SC_96359_29_51	cHF	SMC
SC_96359_69_9	cHF	EC
SC_96359_57_48	cHF	CM
SC_96359_61_64	cHF	CM
SC_96359_20_42	cHF	CM
SC_96359_23_50	cHF	CM
SC_96359_24_20	cHF	CM
SC_96359_22_32	cHF	CM
SC_96359_70_6	cHF	SMC
SC_96359_24_10	cHF	CM
SC_96359_63_55	cHF	EC
SC_96359_54_31	cHF	CM
SC_96359_29_52	cHF	SMC
SC_96359_24_5	cHF	CM
SC_96359_63_44	cHF	EC
SC_96359_32_45	cHF	FB
SC_96359_66_30	cHF	MP
SC_96359_26_2	cHF	CM
SC_96359_66_47	cHF	SMC
SC_96359_61_2	cHF	CM
SC_96359_30_3	cHF	EC
SC_96359_56_28	cHF	CM
SC_96359_29_28	cHF	SMC
SC_96359_28_34	cHF	EC
SC_96359_65_39	cHF	EC
SC_96359_65_30	cHF	MP
SC_96359_35_47	cHF	EC
SC_96359_31_47	cHF	EC
SC_96359_70_66	cHF	EC
SC_96359_31_25	cHF	EC
SC_96359_33_3	cHF	FB
SC_96359_35_25	cHF	EC
SC_96359_64_61	cHF	EC
SC_96359_57_64	cHF	CM
SC_96359_30_4	cHF	EC
SC_96359_65_67	cHF	EC
SC_96359_62_29	cHF	CM
SC_96359_71_55	cHF	EC
SC_96359_24_62	cHF	CM
SC_96359_70_2	cHF	EC
SC_96359_28_54	cHF	EC
SC_96359_34_40	cHF	EC
SC_96359_67_65	cHF	EC
SC_96359_30_69	cHF	EC
SC_96359_61_47	cHF	CM
SC_96359_60_16	cHF	CM
SC_96359_30_6	cHF	EC
SC_96359_34_54	cHF	MP
SC_96359_19_30	cHF	CM
SC_96359_55_46	cHF	CM
SC_96366_22_43	cHF	CM
SC_96366_52_50	cHF	CM
SC_96366_9_55	cHF	CM
SC_96366_27_8	cHF	CM
SC_96366_32_0	cHF	CM
SC_96366_15_19	cHF	CM
SC_96366_28_4	cHF	CM
SC_96366_71_52	cHF	CM
SC_96366_16_34	cHF	CM
SC_96366_69_55	cHF	CM
SC_96366_52_26	cHF	CM
SC_96366_69_7	cHF	CM
SC_96366_53_15	cHF	CM
SC_96366_36_22	cHF	CM
SC_96366_13_65	cHF	CM
SC_96366_14_61	cHF	CM
SC_96366_14_60	cHF	CM
SC_96366_33_6	cHF	CM
SC_96366_18_22	cHF	CM
SC_96366_5_7	cHF	CM
SC_96366_48_59	cHF	CM
SC_96366_50_50	cHF	CM
SC_96366_36_53	cHF	CM
SC_96366_70_28	cHF	CM
SC_96366_37_27	cHF	CM
SC_96366_3_19	cHF	CM
SC_96366_36_37	cHF	CM
SC_96366_67_1	cHF	CM
SC_96366_14_5	cHF	CM
SC_96366_50_25	cHF	CM
SC_96366_65_10	cHF	CM
SC_96366_22_5	cHF	CM
SC_96366_3_14	cHF	CM
SC_96366_39_12	cHF	CM
SC_96366_12_56	cHF	CM
SC_96366_53_30	cHF	CM
SC_96366_6_54	cHF	CM
SC_96366_2_68	cHF	CM
SC_96366_47_45	cHF	CM
SC_96366_50_15	cHF	CM
SC_96366_68_53	cHF	CM
SC_96366_55_4	cHF	CM
SC_96366_42_10	cHF	CM
SC_96366_64_33	cHF	CM
SC_96366_57_20	cHF	CM
SC_96366_36_40	cHF	CM
SC_96366_51_42	cHF	CM
SC_96366_38_30	cHF	CM
SC_96366_23_18	cHF	CM
SC_96366_30_26	cHF	CM
SC_96366_10_18	cHF	CM
SC_96366_12_43	cHF	CM
SC_96366_9_26	cHF	CM
SC_96366_2_69	cHF	CM
SC_96366_4_24	cHF	CM
SC_96366_50_52	cHF	CM
SC_96366_57_6	cHF	CM
SC_96366_52_29	cHF	CM
SC_96366_12_42	cHF	CM
SC_96366_51_19	cHF	CM
SC_96366_54_7	cHF	CM
SC_96366_57_18	cHF	CM
SC_96366_22_0	cHF	CM
SC_96366_17_13	cHF	CM
SC_96366_24_1	cHF	CM
SC_96366_57_70	cHF	CM
SC_96366_44_2	cHF	CM
SC_96366_37_23	cHF	CM
SC_96366_54_9	cHF	CM
SC_96366_22_12	cHF	CM
SC_96366_16_28	cHF	CM
SC_96366_61_11	cHF	CM
SC_96366_12_44	cHF	CM
SC_96366_18_7	cHF	CM
SC_96366_23_17	cHF	CM
SC_96366_8_3	cHF	CM
SC_96366_11_30	cHF	CM
SC_96366_38_1	cHF	CM
SC_96366_23_1	cHF	CM
SC_96366_25_5	cHF	CM
SC_96366_26_19	cHF	CM
SC_96366_42_38	cHF	CM
SC_96366_52_54	cHF	CM
SC_96366_1_24	cHF	CM
SC_96366_11_3	cHF	CM
SC_96366_46_0	cHF	CM
SC_96366_4_5	cHF	CM
SC_96366_36_21	cHF	CM
SC_96366_57_10	cHF	CM
SC_96366_3_29	cHF	CM
SC_96366_16_25	cHF	CM
SC_96366_71_49	cHF	CM
SC_96366_51_62	cHF	CM
SC_96366_50_65	cHF	CM
SC_96366_65_33	cHF	CM
SC_96366_22_11	cHF	CM
SC_96366_7_66	cHF	CM
SC_96366_37_47	cHF	CM
SC_96366_41_34	cHF	CM
SC_96366_8_4	cHF	CM
SC_96366_53_35	cHF	CM
SC_96366_47_3	cHF	CM
SC_96366_49_42	cHF	CM
SC_96366_44_3	cHF	CM
SC_96366_3_21	cHF	CM
SC_96366_70_27	cHF	CM
SC_96366_7_7	cHF	CM
SC_96366_43_47	cHF	CM
SC_96366_6_61	cHF	CM
SC_96366_5_10	cHF	CM
SC_96366_20_6	cHF	CM
SC_96366_45_23	cHF	CM
SC_96366_36_63	cHF	CM
SC_96366_44_26	cHF	CM
SC_96366_24_4	cHF	CM
SC_96366_19_20	cHF	CM
SC_96366_19_57	cHF	CM
SC_96366_3_22	cHF	CM
SC_96366_45_31	cHF	CM
SC_96366_42_17	cHF	CM
SC_96366_44_27	cHF	CM
SC_96366_56_10	cHF	CM
SC_96366_14_16	cHF	CM
SC_96366_10_15	cHF	CM
SC_96366_7_5	cHF	CM
SC_96366_38_48	cHF	CM
SC_96366_56_21	cHF	CM
SC_96366_52_48	cHF	CM
SC_96366_17_7	cHF	CM
SC_96366_12_37	cHF	CM
SC_96366_65_4	cHF	CM
SC_96366_58_17	cHF	CM
SC_96366_7_10	cHF	CM
SC_96366_54_17	cHF	CM
SC_96366_41_40	cHF	CM
SC_96366_70_35	cHF	CM
SC_96366_44_31	cHF	CM
SC_96366_19_44	cHF	CM
SC_96366_32_9	cHF	CM
SC_96366_39_45	cHF	CM
SC_96366_43_17	cHF	CM
SC_96366_51_28	cHF	CM
SC_96366_40_12	cHF	CM
SC_96366_70_32	cHF	CM
SC_96366_64_32	cHF	CM
SC_96366_71_7	cHF	CM
SC_96366_42_26	cHF	CM
SC_96366_56_2	cHF	CM
SC_96366_39_15	cHF	CM
SC_96366_55_16	cHF	CM
SC_96366_24_30	cHF	CM
SC_96366_37_31	cHF	CM
SC_96366_36_54	cHF	CM
SC_96366_54_19	cHF	CM
SC_96366_16_26	cHF	CM
SC_96366_54_57	cHF	CM
SC_96366_32_5	cHF	CM
SC_96366_59_29	cHF	CM
SC_96366_19_14	cHF	CM
SC_96366_16_13	cHF	CM
SC_96366_14_14	cHF	CM
SC_96366_52_12	cHF	CM
SC_96366_45_17	cHF	CM
SC_96366_49_66	cHF	CM
SC_96366_17_27	cHF	CM
SC_96366_53_40	cHF	CM
SC_96366_61_71	cHF	CM
SC_96366_19_35	cHF	CM
SC_96366_43_31	cHF	CM
SC_96366_64_1	cHF	CM
SC_96366_26_10	cHF	CM
SC_96366_12_23	cHF	CM
SC_96366_37_0	cHF	CM
SC_96366_38_5	cHF	CM
SC_96366_45_11	cHF	CM
SC_96366_17_15	cHF	CM
SC_96366_37_28	cHF	CM
SC_96366_39_24	cHF	CM
SC_96366_47_50	cHF	CM
SC_96366_52_42	cHF	CM
SC_96366_6_9	cHF	CM
SC_96366_42_27	cHF	CM
SC_96366_7_61	cHF	CM
SC_96366_8_7	cHF	CM
SC_96366_10_16	cHF	CM
SC_96366_47_34	cHF	CM
SC_96366_53_63	cHF	CM
SC_96366_50_23	cHF	CM
SC_96366_33_30	cHF	CM
SC_96366_18_11	cHF	CM
SC_96366_43_40	cHF	CM
SC_96366_15_48	cHF	CM
SC_96366_9_27	cHF	CM
SC_96366_55_9	cHF	CM
SC_96366_67_32	cHF	CM
SC_96366_54_18	cHF	CM
SC_96366_12_55	cHF	CM
SC_96366_61_23	cHF	CM
SC_96366_57_16	cHF	CM
SC_96366_39_18	cHF	CM
SC_96366_49_68	cHF	CM
SC_96366_68_8	cHF	CM
SC_96366_43_26	cHF	CM
SC_96366_54_10	cHF	CM
SC_96366_39_5	cHF	CM
SC_96366_42_29	cHF	CM
SC_96366_64_8	cHF	CM
SC_96366_14_19	cHF	CM
SC_96366_50_64	cHF	CM
SC_96366_37_32	cHF	CM
SC_96366_36_41	cHF	CM
SC_96366_65_31	cHF	CM
SC_96366_45_21	cHF	CM
SC_96366_16_20	cHF	CM
SC_96366_50_24	cHF	CM
SC_96366_29_7	cHF	CM
SC_96366_9_35	cHF	CM
SC_96366_47_35	cHF	CM
SC_96366_1_29	cHF	CM
SC_96366_33_0	cHF	CM
SC_96366_49_23	cHF	CM
SC_96366_56_15	cHF	CM
SC_96366_52_51	cHF	CM
SC_96366_38_62	cHF	CM
SC_96366_9_13	cHF	CM
SC_96366_56_24	cHF	CM
SC_96366_70_31	cHF	CM
SC_96366_65_34	cHF	CM
SC_96366_13_43	cHF	CM
SC_96366_36_56	cHF	CM
SC_96366_40_30	cHF	CM
SC_96366_52_49	cHF	CM
SC_96366_6_28	cHF	CM
SC_96366_69_49	cHF	CM
SC_96366_13_48	cHF	CM
SC_96366_7_25	cHF	CM
SC_96366_35_30	cHF	CM
SC_96366_56_23	cHF	CM
SC_96366_49_52	cHF	CM
SC_96366_18_1	cHF	CM
SC_96366_15_54	cHF	CM
SC_96366_21_24	cHF	CM
SC_96366_20_57	cHF	CM
SC_96366_68_34	cHF	CM
SC_96366_42_0	cHF	CM
SC_96366_1_18	cHF	CM
SC_96366_16_21	cHF	CM
SC_96366_41_66	cHF	CM
SC_96366_33_7	cHF	CM
SC_96366_51_56	cHF	CM
SC_96366_41_41	cHF	CM
SC_96366_32_11	cHF	CM
SC_96366_6_27	cHF	CM
SC_96366_11_21	cHF	CM
SC_96366_5_22	cHF	CM
SC_96366_6_13	cHF	CM
SC_96366_49_63	cHF	CM
SC_96366_1_28	cHF	CM
SC_96366_14_6	cHF	CM
SC_96366_65_32	cHF	CM
SC_96366_14_30	cHF	CM
SC_96366_61_33	cHF	CM
SC_96366_22_3	cHF	CM
SC_96366_34_8	cHF	CM
SC_96366_13_53	cHF	CM
SC_96366_1_13	cHF	CM
SC_96366_37_42	cHF	CM
SC_96366_37_24	cHF	CM
SC_96366_34_2	cHF	CM
SC_96366_20_21	cHF	CM
SC_96366_4_20	cHF	CM
SC_96366_52_4	cHF	CM
SC_96366_53_27	cHF	CM
SC_96366_18_41	cHF	CM
SC_96366_10_21	cHF	CM
SC_96366_15_22	cHF	CM
SC_96366_6_36	cHF	CM
SC_96366_12_1	cHF	CM
SC_96366_9_54	cHF	CM
SC_96366_36_45	cHF	CM
SC_96366_58_41	cHF	CM
SC_96366_40_41	cHF	CM
SC_96366_56_25	cHF	CM
SC_96366_11_44	cHF	CM
SC_96366_15_13	cHF	CM
SC_96366_20_38	cHF	CM
SC_96366_12_2	cHF	CM
SC_96366_67_3	cHF	CM
SC_96366_34_3	cHF	CM
SC_96366_6_32	cHF	CM
SC_96366_57_33	cHF	CM
SC_96366_52_31	cHF	CM
SC_96366_44_45	cHF	CM
SC_96366_2_13	cHF	CM
SC_96366_6_31	cHF	CM
SC_96366_44_29	cHF	CM
SC_96366_11_7	cHF	CM
SC_96366_51_64	cHF	CM
SC_96366_45_30	cHF	CM
SC_96366_55_27	cHF	CM
SC_96366_66_35	cHF	CM
SC_96366_68_6	cHF	CM
SC_96366_48_53	cHF	CM
SC_96366_0_8	cHF	CM
SC_96366_36_48	cHF	CM
SC_96366_15_59	cHF	CM
SC_96366_12_39	cHF	CM
SC_96366_13_31	cHF	CM
SC_96366_37_62	cHF	CM
SC_96366_4_63	cHF	CM
SC_96366_55_24	cHF	CM
SC_96366_15_42	cHF	CM
SC_96366_1_11	cHF	CM
SC_96366_25_3	cHF	CM
SC_96366_16_27	cHF	CM
SC_96366_36_61	cHF	CM
SC_96366_1_31	cHF	CM
SC_96366_5_1	cHF	CM
SC_96366_10_7	cHF	CM
SC_96366_69_26	cHF	CM
SC_96366_44_30	cHF	CM
SC_96366_64_4	cHF	CM
SC_96366_18_17	cHF	CM
SC_96366_1_6	cHF	CM
SC_96366_38_67	cHF	CM
SC_96366_56_0	cHF	CM
SC_96366_52_40	cHF	CM
SC_96366_57_0	cHF	CM
SC_96366_69_4	cHF	CM
SC_96366_61_40	cHF	CM
SC_96366_57_35	cHF	CM
SC_96366_20_22	cHF	CM
SC_96366_36_64	cHF	CM
SC_96366_53_26	cHF	CM
SC_96366_34_7	cHF	CM
SC_96366_44_34	cHF	CM
SC_96366_23_28	cHF	CM
SC_96366_63_33	cHF	CM
SC_96366_1_10	cHF	CM
SC_96366_12_54	cHF	CM
SC_96366_52_43	cHF	CM
SC_96366_42_36	cHF	CM
SC_96366_3_68	cHF	CM
SC_96366_67_34	cHF	CM
SC_96366_19_16	cHF	CM
SC_96366_47_63	cHF	CM
SC_96366_51_66	cHF	CM
SC_96366_17_0	cHF	CM
SC_96366_19_36	cHF	CM
SC_96366_49_28	cHF	CM
SC_96366_42_51	cHF	CM
SC_96366_71_3	cHF	CM
SC_96366_49_54	cHF	CM
SC_96366_36_46	cHF	CM
SC_96366_24_5	cHF	CM
SC_96366_65_27	cHF	CM
SC_96366_6_15	cHF	CM
SC_96366_6_18	cHF	CM
SC_96366_55_33	cHF	CM
SC_96366_22_6	cHF	CM
SC_96366_52_45	cHF	CM
SC_96366_10_24	cHF	CM
SC_96366_21_2	cHF	CM
SC_96366_18_28	cHF	CM
SC_96366_37_43	cHF	CM
SC_96366_8_46	cHF	CM
SC_96366_16_36	cHF	CM
SC_96366_14_2	cHF	CM
SC_96366_11_24	cHF	CM
SC_96366_51_21	cHF	CM
SC_96366_37_14	cHF	CM
SC_96366_15_51	cHF	CM
SC_96366_54_1	cHF	CM
SC_96366_29_4	cHF	CM
SC_96366_6_71	cHF	CM
SC_96366_35_25	cHF	CM
SC_96366_52_15	cHF	CM
SC_96366_64_3	cHF	CM
SC_96366_10_8	cHF	CM
SC_96366_68_4	cHF	CM
SC_96366_11_26	cHF	CM
SC_96366_15_16	cHF	CM
SC_96366_10_27	cHF	CM
SC_96366_5_3	cHF	CM
SC_96366_6_4	cHF	CM
SC_96366_16_11	cHF	CM
SC_96366_36_29	cHF	CM
SC_96366_22_4	cHF	CM
SC_96366_41_29	cHF	CM
SC_96366_54_4	cHF	CM
SC_96366_60_44	cHF	CM
SC_96366_50_27	cHF	CM
SC_96366_37_50	cHF	CM
SC_96366_68_35	cHF	CM
SC_96366_41_25	cHF	CM
SC_96366_41_32	cHF	CM
SC_96366_8_44	cHF	CM
SC_100355_35_42	N	CM
SC_100355_66_2	N	CM
SC_100355_27_38	N	CM
SC_100355_59_13	N	CM
SC_100355_28_43	N	CM
SC_100355_15_19	N	FB
SC_100355_54_66	N	CM
SC_100355_55_42	N	CM
SC_100355_43_18	N	EC
SC_100355_25_45	N	CM
SC_100355_45_60	N	FB
SC_100355_54_71	N	CM
SC_100355_35_56	N	CM
SC_100355_58_44	N	CM
SC_100355_45_47	N	FB
SC_100355_62_18	N	CM
SC_100355_30_39	N	CM
SC_100355_64_10	N	CM
SC_100355_62_17	N	CM
SC_100355_63_16	N	CM
SC_100355_14_60	N	FB
SC_100355_27_36	N	CM
SC_100355_33_6	N	CM
SC_100355_41_67	N	FB
SC_100355_59_47	N	CM
SC_100355_36_67	N	FB
SC_100355_41_63	N	MP
SC_100355_17_64	N	FB
SC_100355_41_47	N	FB
SC_100355_25_70	N	CM
SC_100355_71_4	N	CM
SC_100355_62_30	N	CM
SC_100355_40_20	N	FB
SC_100355_29_13	N	CM
SC_100355_32_13	N	CM
SC_100355_36_37	N	FB
SC_100355_25_0	N	CM
SC_100355_30_41	N	CM
SC_100355_4_23	N	FB
SC_100355_3_14	N	FB
SC_100355_46_43	N	FB
SC_100355_39_70	N	FB
SC_100355_36_40	N	FB
SC_100355_65_8	N	CM
SC_100355_57_61	N	CM
SC_100355_69_56	N	CM
SC_100355_31_61	N	CM
SC_100355_50_6	N	CM
SC_100355_37_71	N	FB
SC_100355_4_24	N	FB
SC_100355_19_42	N	CM
SC_100355_37_13	N	FB
SC_100355_48_14	N	FB
SC_100355_27_13	N	CM
SC_100355_0_45	N	FB
SC_100355_45_71	N	FB
SC_100355_43_43	N	FB
SC_100355_48_38	N	SMC
SC_100355_6_44	N	FB
SC_100355_62_14	N	CM
SC_100355_50_32	N	CM
SC_100355_67_70	N	CM
SC_100355_67_8	N	CM
SC_100355_62_63	N	CM
SC_100355_33_40	N	CM
SC_100355_23_66	N	CM
SC_100355_38_66	N	FB
SC_100355_26_42	N	CM
SC_100355_56_66	N	CM
SC_100355_38_26	N	FB
SC_100355_48_45	N	FB
SC_100355_32_41	N	CM
SC_100355_58_16	N	CM
SC_100355_25_15	N	CM
SC_100355_1_44	N	FB
SC_100355_58_30	N	CM
SC_100355_22_36	N	CM
SC_100355_26_19	N	CM
SC_100355_48_67	N	FB
SC_100355_17_17	N	FB
SC_100355_68_21	N	CM
SC_100355_46_12	N	SMC
SC_100355_47_14	N	FB
SC_100355_44_50	N	EC
SC_100355_50_65	N	FB
SC_100355_65_16	N	CM
SC_100355_36_0	N	FB
SC_100355_42_46	N	FB
SC_100355_64_36	N	CM
SC_100355_59_15	N	CM
SC_100355_24_61	N	CM
SC_100355_5_16	N	FB
SC_100355_23_47	N	CM
SC_100355_13_36	N	FB
SC_100355_49_42	N	FB
SC_100355_54_6	N	CM
SC_100355_47_67	N	FB
SC_100355_36_52	N	EC
SC_100355_10_35	N	CM
SC_100355_28_22	N	CM
SC_100355_65_12	N	CM
SC_100355_44_67	N	FB
SC_100355_22_65	N	CM
SC_100355_65_21	N	CM
SC_100355_18_19	N	CM
SC_100355_65_64	N	CM
SC_100355_29_57	N	CM
SC_100355_1_45	N	FB
SC_100355_26_47	N	CM
SC_100355_32_62	N	CM
SC_100355_68_63	N	CM
SC_100355_47_37	N	FB
SC_100355_54_45	N	CM
SC_100355_28_18	N	CM
SC_100355_59_19	N	CM
SC_100355_8_63	N	FB
SC_100355_3_22	N	FB
SC_100355_63_62	N	CM
SC_100355_4_43	N	FB
SC_100355_8_36	N	FB
SC_100355_4_61	N	FB
SC_100355_33_70	N	CM
SC_100355_44_57	N	FB
SC_100355_57_62	N	CM
SC_100355_60_60	N	CM
SC_100355_23_20	N	CM
SC_100355_18_36	N	CM
SC_100355_0_44	N	FB
SC_100355_71_14	N	CM
SC_100355_10_61	N	FB
SC_100355_19_63	N	CM
SC_100355_14_17	N	FB
SC_100355_53_51	N	CM
SC_100355_35_66	N	CM
SC_100355_36_47	N	SMC
SC_100355_65_14	N	CM
SC_100355_35_38	N	CM
SC_100355_28_20	N	CM
SC_100355_15_65	N	EC
SC_100355_70_45	N	CM
SC_100355_14_22	N	FB
SC_100355_70_43	N	CM
SC_100355_57_17	N	CM
SC_100355_55_64	N	CM
SC_100355_51_22	N	EC
SC_100355_45_61	N	FB
SC_100355_8_24	N	FB
SC_100355_54_19	N	CM
SC_100355_69_11	N	CM
SC_100355_8_20	N	MP
SC_100355_63_5	N	CM
SC_100355_60_21	N	CM
SC_100355_46_61	N	FB
SC_100355_11_39	N	FB
SC_100355_16_13	N	FB
SC_100355_34_19	N	CM
SC_100355_19_40	N	CM
SC_100355_15_36	N	MP
SC_100355_47_29	N	CM
SC_100355_62_61	N	CM
SC_100355_59_30	N	CM
SC_100355_53_14	N	FB
SC_100355_67_71	N	CM
SC_100355_63_45	N	CM
SC_100355_49_66	N	FB
SC_100355_44_42	N	FB
SC_100355_11_36	N	FB
SC_100355_57_26	N	CM
SC_100355_13_61	N	FB
SC_100355_10_59	N	CM
SC_100355_5_36	N	FB
SC_100355_5_18	N	FB
SC_100355_4_65	N	FB
SC_100355_27_32	N	CM
SC_100355_32_31	N	CM
SC_100355_43_70	N	FB
SC_100355_49_70	N	FB
SC_100355_43_16	N	FB
SC_100355_52_61	N	FB
SC_100355_59_26	N	CM
SC_100355_48_71	N	FB
SC_100355_22_17	N	CM
SC_100355_60_61	N	CM
SC_100355_48_25	N	CM
SC_100355_48_52	N	CM
SC_100355_69_63	N	CM
SC_100355_12_51	N	CM
SC_100355_35_20	N	CM
SC_100355_45_5	N	CM
SC_100355_38_11	N	FB
SC_100355_3_47	N	FB
SC_100355_38_69	N	MP
SC_100355_45_67	N	FB
SC_100355_43_67	N	FB
SC_100355_38_49	N	FB
SC_100355_34_46	N	CM
SC_100355_29_15	N	CM
SC_100355_63_14	N	CM
SC_100355_47_64	N	FB
SC_100355_1_71	N	FB
SC_100355_1_23	N	FB
SC_100355_52_66	N	FB
SC_100355_55_19	N	CM
SC_100355_53_63	N	FB
SC_100355_23_33	N	CM
SC_100355_35_62	N	CM
SC_100355_18_6	N	CM
SC_100355_43_3	N	FB
SC_100355_27_68	N	CM
SC_100355_68_45	N	CM
SC_100355_5_45	N	FB
SC_100355_28_2	N	CM
SC_100355_25_68	N	CM
SC_100355_58_61	N	CM
SC_100355_28_19	N	CM
SC_100355_13_68	N	FB
SC_100355_11_23	N	FB
SC_100355_3_43	N	FB
SC_100355_54_40	N	CM
SC_100355_34_42	N	CM
SC_100355_24_66	N	CM
SC_100355_44_65	N	FB
SC_100355_29_39	N	CM
SC_100355_27_15	N	CM
SC_100355_71_12	N	CM
SC_100355_39_36	N	FB
SC_100355_26_68	N	CM
SC_100355_69_21	N	CM
SC_100355_34_21	N	CM
SC_100355_31_71	N	CM
SC_100355_11_61	N	FB
SC_100355_60_11	N	CM
SC_100355_25_13	N	CM
SC_100355_70_3	N	CM
SC_100355_25_12	N	CM
SC_100355_24_18	N	CM
SC_100355_14_4	N	CM
SC_100355_51_12	N	FB
SC_100355_8_19	N	FB
SC_100355_57_31	N	CM
SC_100355_45_49	N	CM
SC_100355_50_61	N	FB
SC_100355_9_69	N	MP
SC_100355_3_11	N	FB
SC_100355_18_45	N	CM
SC_100355_36_41	N	FB
SC_100355_55_12	N	CM
SC_100355_0_19	N	FB
SC_100355_2_61	N	MP
SC_100355_49_61	N	FB
SC_100355_30_45	N	CM
SC_100355_29_10	N	CM
SC_100355_44_64	N	SMC
SC_100355_65_68	N	CM
SC_100355_22_67	N	CM
SC_100355_52_69	N	FB
SC_100355_32_68	N	CM
SC_100355_50_8	N	CM
SC_100355_2_64	N	EC
SC_100355_64_14	N	CM
SC_100355_69_2	N	CM
SC_100355_21_13	N	CM
SC_100355_57_52	N	CM
SC_100355_36_19	N	EC
SC_100355_56_45	N	CM
SC_100355_30_62	N	CM
SC_100355_34_36	N	CM
SC_100355_35_39	N	CM
SC_100355_15_67	N	FB
SC_100355_57_21	N	CM
SC_100355_26_38	N	CM
SC_100355_44_37	N	FB
SC_100355_54_63	N	CM
SC_100355_56_23	N	CM
SC_100355_5_68	N	FB
SC_100355_21_23	N	CM
SC_100355_21_37	N	CM
SC_100355_44_15	N	FB
SC_100355_44_46	N	FB
SC_100355_16_45	N	FB
SC_100355_47_40	N	FB
SC_100355_17_24	N	CM
