label	cell_type
SC_96279_54_58	cHF	CM
SC_96279_51_57	cHF	CM
SC_96279_64_21	cHF	EC
SC_96279_65_53	cHF	EC
SC_96279_71_68	cHF	EC
SC_96279_68_39	cHF	EC
SC_96279_64_50	cHF	EC
SC_96279_13_39	cHF	CM
SC_96279_65_2	cHF	SMC
SC_96279_17_44	cHF	CM
SC_96279_55_31	cHF	CM
SC_96279_68_46	cHF	EC
SC_96279_71_10	cHF	EC
SC_96279_69_70	cHF	EC
SC_96279_0_35	cHF	CM
SC_96279_67_58	cHF	EC
SC_96279_17_23	cHF	CM
SC_96279_63_34	cHF	EC
SC_96279_71_36	cHF	MP
SC_96279_40_11	cHF	CM
SC_96279_32_43	cHF	EC
SC_96279_70_37	cHF	FB
SC_96279_60_57	cHF	CM
SC_96279_69_23	cHF	SMC
SC_96279_66_51	cHF	EC
SC_96279_56_5	cHF	CM
SC_96279_64_48	cHF	EC
SC_96279_63_29	cHF	EC
SC_96279_56_58	cHF	CM
SC_96279_59_5	cHF	CM
SC_96279_68_29	cHF	EC
SC_96279_64_67	cHF	FB
SC_96279_64_29	cHF	EC
SC_96279_24_34	cHF	CM
SC_96279_66_35	cHF	EC
SC_96279_34_50	cHF	FB
SC_96279_70_4	cHF	EC
SC_96279_57_29	cHF	CM
SC_96279_12_59	cHF	CM
SC_96279_54_5	cHF	CM
SC_96279_50_13	cHF	CM
SC_96279_19_34	cHF	CM
SC_96279_68_44	cHF	SMC
SC_96279_7_9	cHF	CM
SC_96279_56_4	cHF	CM
SC_96279_68_12	cHF	SMC
SC_96279_71_45	cHF	EC
SC_96279_26_30	cHF	CM
SC_96279_68_47	cHF	EC
SC_96279_70_44	cHF	EC
SC_96279_71_38	cHF	EC
SC_96279_57_0	cHF	CM
SC_96279_56_31	cHF	CM
SC_96279_8_28	cHF	CM
SC_96279_10_30	cHF	CM
SC_96279_64_54	cHF	SMC
SC_96279_64_51	cHF	EC
SC_96279_55_32	cHF	CM
SC_96279_33_61	cHF	EC
SC_96279_69_53	cHF	SMC
SC_96279_68_16	cHF	EC
SC_96279_60_49	cHF	CM
SC_96279_23_28	cHF	CM
SC_96279_20_35	cHF	CM
SC_96279_7_44	cHF	CM
SC_96279_64_16	cHF	EC
SC_96279_10_55	cHF	CM
SC_96279_2_0	cHF	CM
SC_96279_19_54	cHF	CM
SC_96279_66_12	cHF	EC
SC_96279_70_30	cHF	EC
SC_96279_48_43	cHF	CM
SC_96279_66_61	cHF	SMC
SC_96279_24_9	cHF	CM
